000531,穗恒运Ａ,火力发电,广东,14.05
000532,力合股份,元器件,广东,228.72
000533,万 家 乐,家用电器,广东,35.89
000534,万泽股份,区域地产,深圳,72.71
000536,华映科技,元器件,福建,124.43
000537,广宇发展,区域地产,天津,30.95
000538,云南白药,中成药,云南,26.07
000539,粤电力Ａ,火力发电,广东,10.83
000540,中天城投,区域地产,贵州,18.66
000541,佛山照明,家用电器,广东,198.78
000543,皖能电力,火力发电,安徽,11.68
000544,中原环保,环境保护,河南,43.47
000545,金浦钛业,化工原料,吉林,62.44
000546,金圆股份,水泥,吉林,32.78
000547,航天发展,通信设备,福建,163.16
000548,湖南投资,路桥,湖南,558.97
000550,江铃汽车,汽车整车,江西,13.02
000551,创元科技,专用机械,江苏,109.4
000552,靖远煤电,煤炭开采,甘肃,45.38
000553,沙隆达Ａ,农药化肥,湖北,32.4
000554,泰山石油,石油贸易,山东,722.54
000555,神州信息,通信设备,深圳,124.57
000557,*ST广夏,红黄药酒,宁夏,31552.45
000558,莱茵体育,区域地产,浙江,0.0
000559,万向钱潮,汽车配件,浙江,63.22
000560,昆百大Ａ,百货,云南,785.91
000561,烽火电子,通信设备,陕西,1003.69
000563,陕国投Ａ,多元金融,陕西,29.7
000564,西安民生,百货,陕西,200.8
000565,渝三峡Ａ,染料涂料,重庆,26.26
000566,海南海药,化学制药,海南,74.21
000567,海德股份,区域地产,海南,221.48
000568,泸州老窖,白酒,四川,19.33
000570,苏常柴Ａ,农用机械,江苏,58.75
000571,新大洲Ａ,煤炭开采,海南,55.04
000572,海马汽车,汽车整车,海南,66.31
000573,粤宏远Ａ,区域地产,广东,0.0
000576,广东甘化,综合类,广东,69.98
000581,威孚高科,汽车配件,江苏,13.93
000582,北部湾港,港口,广西,40.63
000584,友利控股,化纤,江苏,251.76
000585,东北电气,电气设备,辽宁,0.0
000586,汇源通信,通信设备,四川,179.04
000587,金叶珠宝,批发业,黑龙江,123.35
000589,黔轮胎Ａ,汽车配件,贵州,49.57
000590,*ST古汉,中成药,湖南,115.39
000591,桐 君 阁,医药商业,重庆,3693.05
000592,平潭发展,林业,福建,402.88
000593,大通燃气,供气供热,四川,272.24
000595,宝塔实业,机械基件,宁夏,0.0
000596,古井贡酒,白酒,安徽,23.95
000597,东北制药,化学制药,辽宁,0.0
000598,兴蓉环境,水务,四川,21.29
000599,青岛双星,汽车配件,山东,100.63
000600,建投能源,火力发电,河北,7.75
000601,韶能股份,火力发电,广东,42.28
000603,盛达矿业,铅锌,北京,31.23
000605,渤海股份,水务,北京,103.82
000606,青海明胶,化学制药,青海,0.0
000607,华媒控股,广告包装,浙江,92.16
000608,阳光股份,区域地产,广西,170.35
000609,绵世股份,区域地产,北京,2551.15
000610,西安旅游,旅游服务,陕西,0.0
000611,*ST蒙发,纺织,内蒙,0.0
000612,焦作万方,铝,河南,329.51
000613,大东海A,旅游服务,海南,0.0
000615,湖北金环,化纤,湖北,20.95
000616,海航投资,全国地产,辽宁,138.38
000617,石油济柴,机械基件,山东,0.0
000619,海螺型材,其他建材,安徽,51.59
000620,新华联,区域地产,北京,109.78
000622,恒立实业,汽车配件,湖南,0.0
000623,吉林敖东,中成药,吉林,9.52
000625,长安汽车,汽车整车,重庆,8.77
000626,如意集团,商贸代理,江苏,24.96
000627,天茂集团,化工原料,湖北,0.0
000628,高新发展,园区开发,四川,0.0
000629,攀钢钒钛,普钢,四川,0.0
000630,铜陵有色,铜,安徽,148.66
000631,顺发恒业,区域地产,吉林,47.19
000632,三木集团,综合类,福建,3338.44
000633,合金投资,综合类,辽宁,0.0
000635,英 力 特,化工原料,宁夏,108.04
000636,风华高科,元器件,广东,141.4
000637,茂化实华,石油加工,广东,39.29
000638,万方发展,批发业,辽宁,0.0
000639,西王食品,食品,山东,34.98
000650,仁和药业,中成药,江西,35.65
000651,格力电器,家用电器,广东,9.67
000652,泰达股份,综合类,天津,82.44
000655,金岭矿业,普钢,山东,0.0
000656,金科股份,区域地产,重庆,20.43
000657,中钨高新,小金属,海南,0.0
000659,*ST中富,广告包装,广东,0.0
000661,长春高新,生物制药,吉林,42.37
000662,索芙特,日用化工,广西,0.0
000663,永安林业,林业,福建,644.24
000665,湖北广电,影视音像,湖北,33.38
000666,经纬纺机,纺织机械,北京,33.21
000667,美好集团,全国地产,云南,57.41
000668,荣丰控股,区域地产,上海,0.0
000669,金鸿能源,供气供热,吉林,37.02
000670,盈方微,元器件,湖北,0.0
000671,阳 光 城,区域地产,福建,29.26
000672,上峰水泥,水泥,甘肃,140.57
000673,当代东方,广告包装,山西,150.91
000676,智度投资,互联网,河南,0.0
000677,*ST海龙,化纤,山东,0.0
000678,襄阳轴承,机械基件,湖北,0.0
000679,大连友谊,百货,辽宁,53.8
000680,山推股份,工程机械,山东,0.0
000681,视觉中国,软件服务,江苏,196.47
000682,东方电子,电气设备,山东,177.0
000683,远兴能源,化工原料,内蒙,80.88
000685,中山公用,水务,广东,12.6
000686,东北证券,证券,吉林,10.97
000687,华讯方舟,化纤,河北,1332.79
000688,建新矿业,铅锌,重庆,81.86
000690,宝新能源,火力发电,广东,25.57
000691,亚太实业,区域地产,海南,0.0
000692,惠天热电,供气供热,辽宁,0.0
000693,华泽钴镍,小金属,四川,81.72
000695,滨海能源,供气供热,天津,0.0
000697,炼石有色,小金属,陕西,228.5
000698,沈阳化工,化工原料,辽宁,47.15
000700,模塑科技,汽车配件,江苏,25.23
000701,厦门信达,综合类,福建,81.92
000702,正虹科技,饲料,湖南,352.95
000703,恒逸石化,化纤,广西,1003.62
000705,浙江震元,医药商业,浙江,573.38
000707,双环科技,化工原料,湖北,261.35
000708,大冶特钢,特种钢,湖北,17.56
000709,河北钢铁,普钢,河北,48.17
000710,天兴仪表,汽车配件,四川,0.0
000711,*ST京蓝,软件服务,黑龙江,0.0
000712,锦龙股份,多元金融,广东,24.46
000713,丰乐种业,种植业,安徽,0.0
000715,中兴商业,百货,辽宁,83.85
000716,黑芝麻,食品,广西,49.78
000717,韶钢松山,钢加工,广东,0.0
000718,苏宁环球,区域地产,吉林,34.6
000719,大地传媒,出版业,河南,24.66
000720,新能泰山,火力发电,山东,78.97
000721,西安饮食,酒店餐饮,陕西,0.0
000722,湖南发展,水力发电,湖南,58.31
000723,美锦能源,焦炭加工,山西,0.0
000725,京东方Ａ,元器件,北京,39.04
000726,鲁  泰Ａ,纺织,山东,19.2
000727,华东科技,元器件,江苏,0.0
000728,国元证券,证券,安徽,15.11
000729,燕京啤酒,啤酒,北京,18.81
000731,四川美丰,农药化肥,四川,73.64
000732,泰禾集团,区域地产,福建,27.04
000733,振华科技,元器件,贵州,60.38
000735,罗 牛 山,农业综合,海南,113.77
000736,中房地产,全国地产,重庆,171.06
000737,南风化工,日用化工,山西,0.0
000738,中航动控,航空,江苏,178.08
000739,普洛药业,化学制药,浙江,37.57
000748,长城信息,电脑设备,湖南,322.23
000750,国海证券,证券,广西,18.17
000751,锌业股份,铅锌,辽宁,95.02
000752,西藏发展,啤酒,西藏,223.95
000753,漳州发展,汽车服务,福建,0.0
000755,山西三维,化工原料,山西,0.0
000756,新华制药,化学制药,山东,64.9
000757,浩物股份,汽车配件,四川,218.97
000758,中色股份,铅锌,北京,38.99
000759,中百集团,超市连锁,湖北,0.0
000760,斯太尔,汽车配件,江苏,0.0
000761,本钢板材,钢加工,辽宁,85.08
000762,西藏矿业,小金属,西藏,595.93
000766,通化金马,中成药,吉林,967.0
000767,漳泽电力,火力发电,山西,16.22
000768,中航飞机,航空,陕西,0.0
000776,广发证券,证券,广东,10.43
000777,中核科技,机械基件,江苏,175.11
000778,新兴铸管,钢加工,河北,59.17
000779,三毛派神,纺织,甘肃,0.0
000780,平庄能源,煤炭开采,内蒙,0.0
000782,美达股份,化纤,广东,68.44
000783,长江证券,证券,湖北,13.36
000785,武汉中商,百货,湖北,359.36
000786,北新建材,其他建材,北京,19.56
000788,北大医药,化学制药,重庆,0.0
000789,万年青,水泥,江西,27.55
000790,华神集团,中成药,四川,0.0
000791,甘肃电投,水力发电,甘肃,77.24
000792,盐湖股份,农药化肥,青海,50.59
000793,华闻传媒,出版业,海南,41.71
000795,太原刚玉,矿物制品,山西,0.0
000796,凯撒旅游,旅游服务,陕西,99.02
000797,中国武夷,全国地产,福建,88.21
000798,中水渔业,渔业,北京,221.04
000799,*ST酒鬼,白酒,湖南,64.87
000800,一汽轿车,汽车整车,吉林,806.84
000801,四川九洲,通信设备,四川,99.52
000802,北京文化,旅游服务,北京,2199.56
000803,金宇车城,纺织,四川,0.0
000806,银河生物,生物制药,广西,207.96
000807,云铝股份,铝,云南,0.0
000809,铁岭新城,区域地产,辽宁,0.0
000810,创维数字,元器件,四川,41.26
000811,烟台冰轮,工程机械,山东,22.12
000812,陕西金叶,广告包装,陕西,213.76
000813,天山纺织,纺织,新疆,569.93
000815,*ST美利,造纸,宁夏,0.0
000816,智慧农业,机械基件,江苏,623.92
000818,方大化工,化工原料,辽宁,77.52
000819,岳阳兴长,石油加工,湖南,214.03
000820,金城股份,造纸,辽宁,0.0
000821,京山轻机,轻工机械,湖北,288.75
000822,山东海化,化工原料,山东,44.72
000823,超声电子,元器件,广东,49.57
000825,太钢不锈,特种钢,山西,0.0
000826,启迪桑德,环境保护,湖北,38.1
000828,东莞控股,路桥,广东,15.14
000829,天音控股,其他商业,江西,0.0
000830,鲁西化工,农药化肥,山东,20.51
000831,五矿稀土,小金属,山西,0.0
000833,贵糖股份,造纸,广西,60.0
000835,长城动漫,影视音像,四川,451.54
000836,鑫茂科技,软件服务,天津,0.0
000837,秦川机床,机床制造,陕西,0.0
000838,财信发展,区域地产,北京,98.17
000839,中信国安,综合类,北京,108.36
000848,承德露露,软饮料,河北,26.11
000850,华茂股份,纺织,安徽,53.68
000851,高鸿股份,软件服务,贵州,184.6
000852,石化机械,化工机械,湖北,0.0
000856,冀东装备,机械基件,河北,0.0
000858,五 粮 液,白酒,四川,15.22
000859,国风塑业,塑料,安徽,0.0
000860,顺鑫农业,白酒,北京,28.49
000861,海印股份,房产服务,广东,110.81
000862,银星能源,新型电力,宁夏,0.0
000863,三湘股份,区域地产,上海,633.6
000868,安凯客车,汽车整车,安徽,150.33
000869,张  裕Ａ,红黄药酒,山东,25.23
000875,吉电股份,火力发电,吉林,170.32
000876,新 希 望,饲料,四川,16.72
000877,天山股份,水泥,新疆,0.0
000878,云南铜业,铜,云南,0.0
000880,潍柴重机,机械基件,山东,132.63
000881,大连国际,综合类,辽宁,0.0
000882,华联股份,百货,北京,40.03
000883,湖北能源,火力发电,湖北,13.52
000885,同力水泥,水泥,河南,66.89
000886,海南高速,路桥,海南,85.76
000887,中鼎股份,橡胶,安徽,29.65
000888,峨眉山Ａ,旅游景点,四川,39.0
000889,茂业通信,通信设备,河北,57.56
000890,法 尔 胜,钢加工,江苏,1277.53
000892,*ST星美,通信设备,重庆,0.0
000893,东凌粮油,食品,广东,0.0
000895,双汇发展,食品,河南,14.83
000897,津滨发展,区域地产,天津,0.0
000898,鞍钢股份,普钢,辽宁,0.0
000899,赣能股份,火力发电,江西,11.95
000900,现代投资,路桥,湖南,17.98
000901,航天科技,航空,黑龙江,445.06
000902,新洋丰,农药化肥,湖北,20.53
000903,云内动力,机械基件,云南,35.36
000905,厦门港务,港口,福建,35.85
000906,物产中拓,批发业,湖南,65.81
000908,景峰医药,化学制药,湖南,56.39
